frame,tp,fp,fn,gt_count,det_count,avg_conf,inference_ms
1,10,3,5,15,13,0.578149486046571,569.7268000803888
2,9,3,7,16,12,0.5890815357367197,16.877245157957077
3,10,2,6,16,12,0.5629703775048256,14.29268578067422
4,10,3,6,16,13,0.5470770436983842,20.157967694103718
5,10,3,6,16,13,0.561345079770455,12.887558899819851
6,10,6,6,16,16,0.4846740085631609,16.225805040448904
7,8,4,8,16,12,0.6024891088406245,13.455716893076897
8,9,2,7,16,11,0.6013078716668215,16.272935084998608
9,9,2,8,17,11,0.6284579851410605,15.392296947538853
10,9,3,8,17,12,0.5853710422913233,14.384906738996506
11,11,3,6,17,14,0.5481913430350167,17.498489003628492
12,8,4,9,17,12,0.5902205755313238,12.827354948967695
13,8,3,8,16,11,0.5995591309937564,17.76060415431857
14,8,5,8,16,13,0.5722788664010855,16.56615501269698
15,7,6,9,16,13,0.5847725891149961,15.580852050334215
16,7,4,9,16,11,0.6117898686365648,14.410458970814943
17,9,4,7,16,13,0.5597224189684942,17.11498759686947
18,9,3,7,16,12,0.5546573127309481,16.158258076757193
19,8,4,8,16,12,0.5581040208538374,14.570575207471848
20,8,4,7,15,12,0.5519286220272382,18.26003799214959
21,8,2,7,15,10,0.5795828878879548,14.354911167174578
22,8,3,7,15,11,0.6090131158178503,19.266298972070217
23,9,4,6,15,13,0.5282089412212372,12.526961043477058
24,7,6,9,16,13,0.5314564613195566,19.291726872324944
25,9,4,7,16,13,0.5534311762222877,12.624435126781464
26,8,4,7,15,12,0.5987112273772558,15.600642189383507
27,8,3,7,15,11,0.6067152944478121,12.278009206056595
28,7,4,8,15,11,0.5796643007885326,16.477928031235933
29,6,3,9,15,9,0.6552047895060645,14.106845017522573
30,8,3,8,16,11,0.6000525626269254,16.824658028781414
31,8,4,8,16,12,0.5657299036780993,16.55541080981493
32,9,4,8,17,13,0.5701923278661875,12.83621834591031
33,9,5,8,17,14,0.5536912126200539,18.253199756145477
34,9,4,8,17,13,0.5782744173820202,13.660767115652561
35,9,4,8,17,13,0.5990322484419897,19.61663691326976
36,8,5,8,16,13,0.6177416329200451,13.647354673594236
37,8,5,8,16,13,0.5996278524398804,16.661988105624914
38,8,4,8,16,12,0.6225292732318243,14.187413733452559
39,8,5,8,16,13,0.6088320108560416,15.299586113542318
40,9,4,6,15,13,0.6010240316390991,15.45294001698494
41,10,5,5,15,15,0.5604434609413147,16.14993531256914
42,11,5,4,15,16,0.5374148096889257,17.303314991295338
43,10,4,5,15,14,0.5661549419164658,12.384739238768816
44,9,4,6,15,13,0.5732006407701052,16.75060112029314
45,8,6,7,15,14,0.5288101306983403,12.753287330269814
46,10,5,5,15,15,0.52879638671875,14.851891901344061
47,10,5,5,15,15,0.527895983060201,12.066288385540247
48,8,5,7,15,13,0.5376272980983441,15.210748184472322
49,9,2,6,15,11,0.5636900338259611,12.91000284254551
50,8,2,7,15,10,0.5972791194915772,15.080499928444624
51,8,3,7,15,11,0.5897042263637889,15.624887309968472
