frame,tp,fp,fn,gt_count,det_count,avg_conf,inference_ms
1,5,2,10,15,7,0.6416140113558088,1511.2074161879718
2,5,2,11,16,7,0.6307984292507172,9.23285586759448
3,5,1,11,16,6,0.6711621681849161,9.987140074372292
4,5,1,11,16,6,0.672982782125473,8.0002062022686
5,5,1,11,16,6,0.6831957548856735,9.583552833646536
6,6,2,10,16,8,0.6007265076041222,8.687733672559261
7,8,3,8,16,11,0.5088964781977914,8.578973822295666
8,6,5,10,16,11,0.5094601728699424,9.88675095140934
9,8,4,9,17,12,0.5040814379851023,8.935624733567238
10,7,3,10,17,10,0.5514553040266037,8.385133929550648
11,8,4,9,17,12,0.5276217237114906,8.873147424310446
12,7,5,10,17,12,0.5124667262037595,8.398300968110561
13,7,4,9,16,11,0.5279604142362421,11.316089890897274
14,7,3,9,16,10,0.5116902470588685,8.310894016176462
15,6,4,10,16,10,0.5019636064767837,8.297603111714125
16,7,7,9,16,14,0.45619731502873556,7.467680145055056
17,6,5,10,16,11,0.48835210366682574,7.257252000272274
18,6,1,10,16,7,0.6259815096855164,8.845285046845675
19,6,2,10,16,8,0.5689392946660519,8.467524778097868
20,6,4,9,15,10,0.5114508241415023,7.947755977511406
21,7,3,8,15,10,0.5039357125759125,9.36262495815754
22,7,5,8,15,12,0.47322234014670056,8.346326183527708
23,6,5,9,15,11,0.5069378804076802,8.914332836866379
24,5,5,11,16,10,0.5047944337129593,8.655596058815718
25,6,4,10,16,10,0.5192833513021469,9.608912747353315
26,6,4,9,15,10,0.5383193790912628,8.758732117712498
27,7,5,8,15,12,0.4908197025458018,9.151640813797712
28,8,6,7,15,14,0.4671115960393633,9.606767911463976
29,6,6,9,15,12,0.5242930427193642,8.682805113494396
30,7,5,9,16,12,0.5085409407814344,8.87480191886425
31,6,4,10,16,10,0.5651855617761612,11.689701117575169
32,6,3,11,17,9,0.5928203927146064,8.174854796379805
33,6,4,11,17,10,0.5551478266716003,9.76642407476902
34,6,3,11,17,9,0.559561077091429,8.365119807422161
35,6,4,11,17,10,0.530563622713089,9.083233308047056
36,5,4,11,16,9,0.5648775464958615,7.802987936884165
37,6,1,10,16,7,0.6017578499657767,8.96219490095973
38,5,4,11,16,9,0.5417736868063608,10.628298856317997
39,6,1,10,16,7,0.6599304846354893,8.575325831770897
40,5,2,10,15,7,0.6456425530569894,8.507647085934877
41,5,2,10,15,7,0.6649376749992371,9.564108215272427
42,5,2,10,15,7,0.6520532965660095,8.131952956318855
43,6,2,9,15,8,0.6324048079550266,10.245221201330423
44,6,2,9,15,8,0.5866109095513821,7.509214803576469
45,5,3,10,15,8,0.5927361585199833,9.039970114827156
46,5,3,10,15,8,0.5815844833850861,8.345781825482845
47,5,1,10,15,6,0.7088710566361746,8.395249024033546
48,5,2,10,15,7,0.6073929624898093,9.251931682229042
49,5,0,10,15,5,0.7053163766860961,8.086069021373987
50,5,1,10,15,6,0.6265182842810949,7.871116977185011
51,7,1,8,15,8,0.5809046663343906,9.934358298778534
52,6,2,9,15,8,0.5651343241333961,8.19732528179884
53,6,3,9,15,9,0.5253026717238956,8.651875890791416
54,5,2,10,15,7,0.5971149121012006,8.036139886826277
55,6,3,9,15,9,0.5437693066067166,10.168853681534529
56,5,5,10,15,10,0.5199683010578156,10.14034217223525
57,5,2,9,14,7,0.5851737942014422,9.157765656709671
58,5,2,10,15,7,0.5121120001588549,8.508600760251284
59,4,3,11,15,7,0.5415368293012891,7.892802823334932
