frame,tp,fp,fn,gt_count,det_count,avg_conf,inference_ms
1,9,3,6,15,12,0.5401490777730942,177.5467898696661
2,8,2,8,16,10,0.5734532326459885,9.208436589688063
3,9,2,7,16,11,0.5615473741834814,8.397998753935099
4,9,1,7,16,10,0.583116763830185,10.067015886306763
5,8,1,8,16,9,0.6226036979092492,8.567915298044682
6,8,1,8,16,9,0.6154443820317587,8.467830251902342
7,9,2,7,16,11,0.5588944364677776,10.390728246420622
8,9,3,7,16,12,0.5362898707389832,9.26923705264926
9,10,1,7,17,11,0.5802496346560392,7.271948736160994
10,9,2,8,17,11,0.5747831274162639,7.817822974175215
11,10,2,7,17,12,0.565973311662674,10.995821096003056
12,9,2,8,17,11,0.5742385848002001,13.311223592609167
13,8,2,8,16,10,0.6142951399087906,7.451176177710295
14,9,1,7,16,10,0.6026806741952896,8.114561904221773
15,8,3,8,16,11,0.5773791752078317,8.109712973237038
16,8,2,8,16,10,0.5950308412313461,9.18671302497387
17,8,2,8,16,10,0.5979290634393692,7.95604195445776
18,9,1,7,16,10,0.5873816221952438,7.951139938086271
19,9,1,7,16,10,0.5871950000524521,7.538354955613613
20,6,3,9,15,9,0.6088849637243483,8.799870032817125
21,8,1,7,15,9,0.6277066502306197,9.248478803783655
22,8,1,7,15,9,0.6210736499892341,8.167318068444729
23,9,2,6,15,11,0.5613238567655737,7.829634007066488
24,8,2,8,16,10,0.5971025705337525,8.705624379217625
25,8,1,8,16,9,0.6449459989865621,9.742308873683214
26,7,4,8,15,11,0.5884768881581046,8.960245177149773
27,8,1,7,15,9,0.6657288173834482,7.715438026934862
28,6,5,9,15,11,0.5956592614000494,7.889139000326395
29,8,4,7,15,12,0.5721668427189192,9.731927886605263
30,7,6,9,16,13,0.5686620978208689,9.041843004524708
31,7,5,9,16,12,0.5932621906201044,7.91449099779129
32,7,5,10,17,12,0.5998735651373863,10.587348137050867
33,7,4,10,17,11,0.636177970604463,8.50988132879138
34,8,4,9,17,12,0.5868004759152731,7.90359266102314
35,8,4,9,17,12,0.5848361328244209,9.575258940458298
36,8,4,8,16,12,0.5776721959312757,9.080190677195787
37,8,2,8,16,10,0.6384058088064194,8.155453950166702
38,8,3,8,16,11,0.6012437804178759,7.706377189606428
39,8,2,8,16,10,0.6408039182424545,8.75058863312006
40,8,1,7,15,9,0.6526157160600027,9.990623220801353
41,6,3,9,15,9,0.672890133327908,9.006950072944164
42,8,2,7,15,10,0.6498338997364044,7.741829846054316
43,8,3,7,15,11,0.5903504680503499,9.165175724774599
44,8,2,7,15,10,0.6195138543844223,7.991157937794924
45,7,3,8,15,10,0.5981708556413651,9.298051707446575
46,7,6,8,15,13,0.5368562845083383,10.626204777508974
47,7,4,8,15,11,0.5870664119720459,7.158692926168442
48,7,3,8,15,10,0.5661125242710113,7.602435071021318
49,5,2,10,15,7,0.645819114787238,10.046454146504402
50,7,1,8,15,8,0.6068676672875881,9.264167863875628
51,8,1,7,15,9,0.5669111808141073,8.076122030615807
52,8,4,7,15,12,0.5124251817663511,8.074941113591194
53,8,3,7,15,11,0.5586419701576233,8.516807109117508
54,8,4,7,15,12,0.5598457455635071,9.88314813002944
55,8,6,7,15,14,0.529975169471332,7.808180060237646
56,6,6,9,15,12,0.5537135377526283,7.494889199733734
57,8,3,6,14,11,0.5549715215509589,7.952501997351646
58,6,5,9,15,11,0.5681952129710804,8.72809998691082
59,6,5,9,15,11,0.5293031253597953,9.293494746088982
60,7,6,7,14,13,0.4828326931366554,8.567693643271923
61,6,3,8,14,9,0.5713188383314345,7.613118272274733
62,8,5,5,13,13,0.49392191951091474,7.61337811127305
63,9,5,4,13,14,0.43272875036512104,9.782809764146805
64,8,4,5,13,12,0.44351110607385635,8.502570912241936
65,7,2,7,14,9,0.5415864653057523,8.365660905838013
66,9,3,6,15,12,0.5057385290662447,9.679856710135937
67,9,3,6,15,12,0.5177517806490263,8.159650955349207
68,9,3,6,15,12,0.5211100950837135,8.230522274971008
69,8,2,7,15,10,0.5256467998027802,10.050055105239153
70,9,3,6,15,12,0.4864702746272087,8.682093117386103
71,8,2,7,15,10,0.5285311311483383,8.627324365079403
72,8,2,7,15,10,0.5439442157745361,10.051426943391562
73,7,1,8,15,8,0.595824733376503,8.633831050246954
74,6,2,9,15,8,0.6080543287098408,8.05183406919241
75,5,2,10,15,7,0.6307547347886222,8.583496790379286
76,7,2,8,15,9,0.5329181783729129,9.910319931805134
77,7,2,8,15,9,0.5348720583650801,9.3681700527668
78,8,4,8,16,12,0.4846949204802513,7.874657865613699
79,8,6,8,16,14,0.4685018445764269,8.429806213825941
80,6,5,10,16,11,0.5223519016395916,9.941544849425554
81,7,3,8,15,10,0.5338289409875869,8.181062061339617
82,7,4,7,14,11,0.5079944946549155,7.861531339585781
83,7,3,7,14,10,0.5467922776937485,11.015706229954958
84,8,3,6,14,11,0.5108359293504194,9.179709944874048
85,7,3,7,14,10,0.5284274131059646,7.071372587233782
86,7,2,7,14,9,0.5517416761981117,9.102684911340475
87,6,1,8,14,7,0.5839913146836417,9.32184187695384
88,7,2,7,14,9,0.5271078315046098,9.455197025090456
89,8,4,6,14,12,0.4673931524157524,7.633472327142954
90,6,3,8,14,9,0.5271020399199592,7.683475036174059
91,6,2,10,16,8,0.5542538054287434,8.543875999748707
92,7,1,9,16,8,0.569017805159092,9.2001729644835
93,5,2,10,15,7,0.601619941847665,7.954711094498634
94,5,2,9,14,7,0.6117155211312431,8.03946191444993
95,8,1,6,14,9,0.5393636756473117,8.123704697936773
96,7,2,7,14,9,0.5491459204090966,7.797024678438902
97,7,2,7,14,9,0.5402315060297648,8.959921076893806
98,8,1,5,13,9,0.5697382059362199,9.041537065058947
99,6,1,7,13,7,0.6666994052273887,8.897712919861078
100,8,3,5,13,11,0.5244442143223502,8.336177095770836
101,7,1,7,14,8,0.6228989511728287,7.657590787857771
102,7,4,7,14,11,0.5501771867275238,8.099597878754139
103,8,3,5,13,11,0.5525419793345712,9.466960094869137
104,9,2,5,14,11,0.529086397452788,8.784237783402205
105,8,2,5,13,10,0.5347877502441406,8.549800142645836
106,8,2,5,13,10,0.5563897132873535,9.134114719927311
107,8,1,5,13,9,0.5719953775405884,8.285942953079939
108,9,1,4,13,10,0.5334721386432648,9.986429009586573
109,8,1,5,13,9,0.5379841691917844,10.538292583078146
110,6,3,7,13,9,0.5351651310920715,7.015221752226353
111,6,3,5,11,9,0.5324462519751655,7.730591110885143
112,6,1,5,11,7,0.5920248670237405,10.865762829780579
113,7,1,4,11,8,0.5712365470826626,9.185959119349718
114,7,1,4,11,8,0.5554196499288082,8.207620121538639
115,6,0,6,12,6,0.6547637780507406,8.537217043340206
116,6,2,6,12,8,0.5673209391534328,8.585276082158089
117,6,1,6,12,7,0.612128095967429,9.98628232628107
