frame,tp,fp,fn,gt_count,det_count,avg_conf,inference_ms
1,10,5,5,15,15,0.60523615082105,503.7105190567672
2,11,4,5,16,15,0.6169313251972198,12.462112121284008
3,11,4,5,16,15,0.6089136560757955,12.972073629498482
4,11,3,5,16,14,0.6247683933803013,8.950833231210709
5,11,4,5,16,15,0.6144818782806396,12.71968986839056
6,11,4,5,16,15,0.5957137962182363,13.217684347182512
7,11,4,5,16,15,0.590743358929952,13.995750807225704
8,10,4,6,16,14,0.6075405861650195,11.86624402180314
9,11,3,6,17,14,0.6039556775774274,11.859213933348656
10,12,4,5,17,16,0.5686429031193256,11.02467067539692
11,11,3,6,17,14,0.6329007191317422,9.668040089309216
12,11,4,6,17,15,0.6081451555093129,16.05111686512828
13,11,4,5,16,15,0.6029217799504598,10.500898119062185
14,11,4,5,16,15,0.5907242755095164,16.72375900670886
15,9,7,7,16,16,0.5582196991890669,9.884451050311327
16,9,4,7,16,13,0.6284508773913751,10.800652205944061
17,9,4,7,16,13,0.6238487821358901,10.824935045093298
18,8,5,8,16,13,0.5899062294226426,9.121020324528217
19,8,3,8,16,11,0.6409514925696633,13.287066016346216
20,7,5,8,15,12,0.5922596429785093,14.419550076127052
21,9,3,6,15,12,0.5883939762910207,10.225951205939054
22,11,3,4,15,14,0.5773116499185562,9.663789998739958
23,10,5,5,15,15,0.5480539262294769,8.974152151495218
24,10,4,6,16,14,0.5733770110777446,15.850178897380829
25,10,4,6,16,14,0.584659782903535,11.898851953446865
26,9,3,6,15,12,0.6346513703465462,10.149220936000347
27,10,2,5,15,12,0.5538116519649824,10.03734115511179
28,10,4,5,15,14,0.5579457219157901,12.813065201044083
29,9,3,6,15,12,0.5982243393858274,14.400236308574677
30,9,5,7,16,14,0.5759037456342152,9.316720068454742
31,9,6,7,16,15,0.5455832203229268,10.598897002637386
32,10,4,7,17,14,0.6012551550354276,10.861868038773537
33,10,4,7,17,14,0.5966671513659614,10.686768218874931
34,11,4,6,17,15,0.5480150580406189,9.800674859434366
35,11,5,6,17,16,0.5488435756415129,9.228179231286049
36,10,3,6,16,13,0.6057497079555805,11.41641614958644
37,10,3,6,16,13,0.612836860693418,11.606846936047077
38,9,5,7,16,14,0.5927025569336755,8.774013724178076
39,9,6,7,16,15,0.5659227808316548,11.74705196171999
40,10,4,5,15,14,0.6178887635469437,13.306735083460808
41,11,5,4,15,16,0.5859325286000967,11.61007396876812
42,11,6,4,15,17,0.5909427194034352,10.190437082201242
43,11,3,4,15,14,0.6019070276192257,13.316740281879902
44,10,3,5,15,13,0.598353617466413,13.238993939012289
45,10,4,5,15,14,0.5943751186132431,9.007757063955069
46,11,2,4,15,13,0.6050158257667835,10.385203640908003
47,9,5,6,15,14,0.6167132364852088,11.070912703871727
48,10,5,5,15,15,0.5516103486220042,12.050554621964693
49,9,5,6,15,14,0.5502524439777646,10.998758021742105
50,8,5,7,15,13,0.5677501077835376,11.755232233554125
51,7,7,8,15,14,0.5657453536987305,13.218892272561789
52,10,5,5,15,15,0.5709307412306468,12.279886286705732
53,10,7,5,15,17,0.5225566099671757,10.349498130381107
54,10,5,5,15,15,0.5334495027860006,9.766001719981432
55,9,7,6,15,16,0.5333162378519773,9.332031011581421
56,9,6,6,15,15,0.5590546528498331,11.215652339160442
57,8,7,6,14,15,0.5611526191234588,11.059421114623547
58,9,5,6,15,14,0.5469682131494794,15.052105765789747
59,9,6,6,15,15,0.523064394791921,10.843044146895409
